dataset,rel_rs,rs,fold,N1,N2,F1,F2
abalone,0,0,0,0.5504584741355985,0.736741214057508,0.5326474308625877,0.873091888656091
abalone,0,0,1,0.5568696744118938,0.7423076923076923,0.5347927892977341,0.8778808739898234
abalone,0,0,2,0.5472105313037571,0.7348242811501597,0.5211890844535326,0.7600239377618193
abalone,0,0,3,0.5576812174670156,0.7571884984025559,0.5341977371502814,0.8782166367444644
abalone,0,0,4,0.5575312560507982,0.7476038338658147,0.5382738226833577,0.8806104129263914
abalone,1,1,0,0.5574559141435974,0.7450479233226837,0.5302641329202685,0.879676743489973
abalone,1,1,1,0.5516417002961281,0.7384615384615385,0.5209152863241819,0.8733912002394493
abalone,1,1,2,0.5573020781297233,0.7386581469648562,0.5394882664618393,0.8782166367444644
abalone,1,1,3,0.5545170450083661,0.7373801916932907,0.5440622699303195,0.8758228605625374
abalone,1,1,4,0.5489863508342737,0.744408945686901,0.5263709130263033,0.75344105326152
abalone,2,4,0,0.5581322279944283,0.7610223642172524,0.5407001629585163,0.8766836276563903
abalone,2,4,1,0.5505519085361619,0.7371794871794872,0.5279952419632153,0.8724932654893744
abalone,2,4,2,0.5556249522928098,0.7405750798722045,0.5404464263980785,0.8692399760622381
abalone,2,4,3,0.5500536333621187,0.729073482428115,0.5222865494204731,0.7953321364452424
abalone,2,4,4,0.5563662941831814,0.739297124600639,0.5294872406607479,0.8833034111310593
abalone,3,18,0,0.5538407364002605,0.746964856230032,0.5369139885029439,0.8760850044896737
abalone,3,18,1,0.5538187968600774,0.732051282051282,0.5344877427774782,0.8712960191559413
abalone,3,18,2,0.5547022421615674,0.734185303514377,0.5312768885661117,0.8746259724715739
abalone,3,18,3,0.5528234624506981,0.7476038338658147,0.5269900223750936,0.796229802513465
abalone,3,18,4,0.5541062365289167,0.7412140575079872,0.5314599226476732,0.8803111909036505
abalone,4,19,0,0.5543371890084922,0.7591054313099042,0.5398860676646299,0.7997605507333134
abalone,4,19,1,0.5549071064258891,0.7294871794871794,0.5312002647722085,0.8760850044896737
abalone,4,19,2,0.5544260508104096,0.7386581469648562,0.5234037538741616,0.8740275284260922
abalone,4,19,3,0.5544661025624926,0.7584664536741214,0.5325209728887982,0.8629563135846798
abalone,4,19,4,0.5514950268812118,0.734185303514377,0.5340089436293363,0.8761220825852782
abalone,5,20,0,0.5530138255353519,0.7399361022364217,0.5224307562217999,0.7979646812331638
abalone,5,20,1,0.5539669373141349,0.7416666666666667,0.5323822580677614,0.8748877581562406
abalone,5,20,2,0.5532055893906301,0.7456869009584665,0.5240503992523577,0.8758228605625374
abalone,5,20,3,0.5530750352972695,0.7412140575079872,0.5361258448674994,0.8623578695391981
abalone,5,20,4,0.5570590099396201,0.7527156549520767,0.546190793231306,0.8731298623578695
abalone,6,23,0,0.555823495729142,0.7482428115015974,0.5315812978355299,0.8838671056569889
abalone,6,23,1,0.555111642756794,0.7506410256410256,0.5396594803439049,0.8695001496557917
abalone,6,23,2,0.5539292793629812,0.7348242811501597,0.5244001062038642,0.879114302812687
abalone,6,23,3,0.5521131958863024,0.744408945686901,0.530818798385904,0.7911430281268701
abalone,6,23,4,0.5510094149184156,0.7386581469648562,0.5345151121944058,0.8734290843806104
abalone,7,26,0,0.555715707322129,0.7488817891373802,0.5318769783331837,0.8793774319066148
abalone,7,26,1,0.549366690090962,0.7288461538461538,0.5200602024031752,0.8805746782400479
abalone,7,26,2,0.5529025780222118,0.7399361022364217,0.5322961141185859,0.7926391382405745
abalone,7,26,3,0.5572171090321065,0.759744408945687,0.5401310080295689,0.8740275284260922
abalone,7,26,4,0.5542120152109358,0.7412140575079872,0.5365982787004606,0.8674446439257929
abalone,8,30,0,0.5513849011806594,0.7373801916932907,0.5447028388747723,0.8614187369051183
abalone,8,30,1,0.5578989952618898,0.7557692307692307,0.5316146770532537,0.8736905118228075
abalone,8,30,2,0.5533187648924321,0.7335463258785943,0.5253496583805495,0.8776181926989827
abalone,8,30,3,0.5519153950649631,0.746964856230032,0.5222783137225613,0.7663076002393776
abalone,8,30,4,0.5558076458798633,0.7405750798722045,0.5372212313080407,0.8803111909036505
abalone,9,31,0,0.5543760778469337,0.7380191693290735,0.5428823284825931,0.8775815624064651
abalone,9,31,1,0.5542742023161378,0.75,0.529020511411752,0.7886860221490571
abalone,9,31,2,0.5563470237227117,0.7361022364217252,0.5326254902166955,0.8821065230400957
abalone,9,31,3,0.5543501088162203,0.7533546325878594,0.5411041619643746,0.8749251944943148
abalone,9,31,4,0.5501849660145107,0.7380191693290735,0.5152412954014944,0.8710353081986835
abalone,10,32,0,0.550100115922506,0.729073482428115,0.5227763408208136,0.7602514217300209
abalone,10,32,1,0.5590472938163751,0.757051282051282,0.543275150563462,0.8802753666566896
abalone,10,32,2,0.5529855608367417,0.736741214057508,0.524494548287496,0.8719329742669061
abalone,10,32,3,0.5514666999450845,0.7322683706070288,0.5344238757136337,0.86983842010772
abalone,10,32,4,0.5557853581191068,0.7603833865814696,0.5361046894973306,0.8797127468581688
abalone,11,38,0,0.5524136802814807,0.7450479233226837,0.5248839535409449,0.8671056569889255
abalone,11,38,1,0.554892840157254,0.7448717948717949,0.5412578397234029,0.8799760550733313
abalone,11,38,2,0.5546119431307132,0.7463258785942491,0.5408218080344528,0.8794135248354279
abalone,11,38,3,0.553426727811079,0.7533546325878594,0.5310669527090247,0.7908438061041293
abalone,11,38,4,0.5535020814825418,0.7380191693290735,0.5230425116040471,0.8773189706762418
abalone,12,39,0,0.5506307690142358,0.7424920127795527,0.5293744295482442,0.8593235558216102
abalone,12,39,1,0.5550654803659496,0.7410256410256411,0.5313044316083306,0.87847949715654
abalone,12,39,2,0.5542415051926074,0.7380191693290735,0.5298311871444095,0.8824057450628366
abalone,12,39,3,0.5552669907976934,0.7571884984025559,0.5279201437375869,0.7950329144225015
abalone,12,39,4,0.5531607825826067,0.731629392971246,0.5425840276893474,0.8725314183123878
abalone,13,44,0,0.5537321017884824,0.7463258785942491,0.525955259023951,0.8775815624064651
abalone,13,44,1,0.5532220470718479,0.7512820512820513,0.5357897103394446,0.7973660580664472
abalone,13,44,2,0.5556830423357145,0.746964856230032,0.5312532471906194,0.8788150807899462
abalone,13,44,3,0.5547003982927577,0.7610223642172524,0.5344991815313386,0.8587672052663076
abalone,13,44,4,0.5544019424865121,0.726517571884984,0.5334252437911204,0.8749251944943148
abalone,14,49,0,0.556622390179479,0.7616613418530351,0.5414521943857494,0.8760850044896737
abalone,14,49,1,0.5555663669548314,0.7506410256410256,0.5421943615582667,0.8805746782400479
abalone,14,49,2,0.5555896136237912,0.7476038338658147,0.5422835231458435,0.86983842010772
abalone,14,49,3,0.5478601598730642,0.7386581469648562,0.5175915451379524,0.6552962298025135
abalone,14,49,4,0.5521136664254437,0.7284345047923323,0.5175762896452761,0.8740275284260922
abalone,15,54,0,0.5579513719920216,0.7482428115015974,0.547063708483465,0.8733912002394493
abalone,15,54,1,0.5511890811597117,0.7410256410256411,0.5215340658101661,0.7934750074827895
abalone,15,54,2,0.5515201924455865,0.736741214057508,0.5286040121978123,0.8752244165170556
abalone,15,54,3,0.5535063137802447,0.7405750798722045,0.529058040416752,0.8704368641532017
abalone,15,54,4,0.555131485203018,0.7348242811501597,0.5348315552270767,0.8788150807899462
abalone,16,58,0,0.5545104496075931,0.7533546325878594,0.5473539489363264,0.8715953307392996
abalone,16,58,1,0.5540722840628838,0.7307692307692307,0.5215130697327074,0.8739898234061658
abalone,16,58,2,0.5563138076243436,0.7571884984025559,0.5357908990534104,0.8755236385397965
abalone,16,58,3,0.5525684359367179,0.7354632587859425,0.5370363476504668,0.8779174147217235
abalone,16,58,4,0.5515023539365305,0.7424920127795527,0.5189605553719404,0.7636146020347098
abalone,17,59,0,0.5561089387361984,0.7386581469648562,0.5280205875817305,0.8787788087398982
abalone,17,59,1,0.5534637223591867,0.7205128205128205,0.5280770021816108,0.8766836276563903
abalone,17,59,2,0.5488016259592398,0.7591054313099042,0.5315101337364168,0.7672052663076002
abalone,17,59,3,0.5563679575405766,0.74185303514377,0.5424809859625789,0.8776181926989827
abalone,17,59,4,0.5550867798768104,0.7546325878594249,0.5307607897904209,0.8770197486535009
abalone,18,61,0,0.5559288199406375,0.7354632587859425,0.53179478494728,0.8766836276563903
abalone,18,61,1,0.5543384057148006,0.732051282051282,0.5385332098843334,0.87847949715654
abalone,18,61,2,0.5525297215730519,0.7386581469648562,0.5291344173181388,0.8731298623578695
abalone,18,61,3,0.553486337910039,0.744408945686901,0.5301793788134017,0.8728306403351287
abalone,18,61,4,0.5533391144251659,0.7591054313099042,0.5313765498914792,0.7944344703770198
abalone,19,65,0,0.5547961690032843,0.7476038338658147,0.5341678355051112,0.879676743489973
abalone,19,65,1,0.5542857916706856,0.735897435897436,0.5174751171804933,0.876384316073032
abalone,19,65,2,0.5485748180295404,0.7322683706070288,0.5272775248234148,0.7899461400359067
abalone,19,65,3,0.5535424495237815,0.7386581469648562,0.5248571565405604,0.874326750448833
abalone,19,65,4,0.5585013356373446,0.7559105431309904,0.5569846420247331,0.8704368641532017
abalone,20,69,0,0.5541276587847653,0.7405750798722045,0.5434696433671099,0.8745884465728824
abalone,20,69,1,0.5566157484210207,0.7538461538461538,0.5330233361146224,0.8751870697395989
abalone,20,69,2,0.5560133983725972,0.7539936102236422,0.5291817854092072,0.8776181926989827
abalone,20,69,3,0.5509738957573849,0.7405750798722045,0.5296499418999544,0.7965290245362059
abalone,20,69,4,0.5523186112601179,0.7271565495207668,0.5257007105942104,0.879114302812687
abalone,21,70,0,0.5496086807734403,0.739297124600639,0.533077249801494,0.7931756958994313
abalone,21,70,1,0.5565858388141285,0.7493589743589744,0.5396523958043741,0.8772822508231068
abalone,21,70,2,0.5582386802625607,0.744408945686901,0.5269537024325847,0.8710353081986835
abalone,21,70,3,0.5532202926900996,0.7424920127795527,0.5371148044766227,0.8647516457211251
abalone,21,70,4,0.5531057513090213,0.7507987220447284,0.5241801409576562,0.8776181926989827
abalone,22,71,0,0.5512105433989245,0.7424920127795527,0.5304694362690853,0.7641424723136785
abalone,22,71,1,0.5503152170542509,0.7378205128205129,0.526963179657793,0.8626159832385514
abalone,22,71,2,0.5552847568366099,0.7482428115015974,0.5378207498081269,0.8764213046080191
abalone,22,71,3,0.5552700051047682,0.746964856230032,0.52794861481789,0.8782166367444644
abalone,22,71,4,0.5566846816230312,0.7405750798722045,0.5377541277953293,0.8797127468581688
abalone,23,74,0,0.5541942763100338,0.7463258785942491,0.5293316020028674,0.8724932654893744
abalone,23,74,1,0.5490791429617344,0.7282051282051282,0.5300967819166457,0.8805746782400479
abalone,23,74,2,0.5527076945487519,0.7399361022364217,0.5318311321161718,0.7980251346499102
abalone,23,74,3,0.5563791524037911,0.7450479233226837,0.5373277362447489,0.8662477558348295
abalone,23,74,4,0.5566820466268512,0.7476038338658147,0.5323157095984578,0.8776181926989827
abalone,24,76,0,0.5517509711229422,0.7258785942492013,0.5340080609137658,0.8745884465728824
abalone,24,76,1,0.5573628753920358,0.757051282051282,0.5362363308507427,0.8799760550733313
abalone,24,76,2,0.5485471918304415,0.7373801916932907,0.5340040634683482,0.7989228007181328
abalone,24,76,3,0.5564284545613732,0.74185303514377,0.531836472906192,0.8746259724715739
abalone,24,76,4,0.5547935419045255,0.7514376996805112,0.5250227392621737,0.8764213046080191
abalone,25,82,0,0.5515111941008938,0.739297124600639,0.5398117860971781,0.8739898234061658
abalone,25,82,1,0.5554012589597215,0.7461538461538462,0.5226205040098286,0.8802753666566896
abalone,25,82,2,0.5553065392745753,0.7354632587859425,0.5333634808778671,0.8683423099940155
abalone,25,82,3,0.5515151243625495,0.7386581469648562,0.5276959963593177,0.7618192698982645
abalone,25,82,4,0.555897880545541,0.7488817891373802,0.5374435637402704,0.8758228605625374
abalone,26,83,0,0.553499490831848,0.739297124600639,0.5329878061779394,0.8769829392397486
abalone,26,83,1,0.5558721218872369,0.7487179487179487,0.5360718478521894,0.8826698593235558
abalone,26,83,2,0.5520515021665444,0.7527156549520767,0.5200053524861669,0.7471573907839617
abalone,26,83,3,0.5562410429784164,0.7412140575079872,0.5393559483023131,0.8749251944943148
abalone,26,83,4,0.5535996817937544,0.7405750798722045,0.5326680887969509,0.8716337522441652
abalone,27,86,0,0.5519024051688416,0.74185303514377,0.5230710298658561,0.8647111643220593
abalone,27,86,1,0.5545268000411544,0.7339743589743589,0.5366098239500189,0.8769829392397486
abalone,27,86,2,0.5517700715802306,0.721405750798722,0.5238157174504248,0.8734290843806104
abalone,27,86,3,0.5521807958954248,0.744408945686901,0.5314267732641323,0.7947336923997607
abalone,27,86,4,0.5574668200937017,0.7610223642172524,0.5463007458010019,0.8803111909036505
abalone,28,88,0,0.5582588089857003,0.7661341853035144,0.5326630527376147,0.8781801855731817
abalone,28,88,1,0.5546556839097548,0.7346153846153847,0.5363758088160202,0.8778808739898234
abalone,28,88,2,0.5551759969363297,0.7463258785942491,0.5311230157548064,0.8782166367444644
abalone,28,88,3,0.558600479514423,0.7635782747603834,0.5476363343089808,0.8788150807899462
abalone,28,88,4,0.5434643049047635,0.7130990415335463,0.5135099324827476,0.7357869539198085
abalone,29,97,0,0.5459905754834165,0.7348242811501597,0.5288528268807284,0.732116132894343
abalone,29,97,1,0.5568256327406002,0.7448717948717949,0.5282948293628339,0.8805746782400479
abalone,29,97,2,0.5556824960910527,0.74185303514377,0.5315429741286531,0.87672052663076
abalone,29,97,3,0.5524020769779483,0.734185303514377,0.537138255295599,0.8746259724715739
abalone,29,97,4,0.5584852147256479,0.7629392971246006,0.5350791723443127,0.87672052663076
